Date,Open,High,Low,Close,SharesTraded,
20081013 00:00,525700,547100,512000,545000,26822507,
20081014 00:00,558700,560200,527400,544400,26531011,
20081015 00:00,534400,534500,498900,498900,25116498,
20081016 00:00,505500,550200,487500,544600,45201234,
20081017 00:00,537000,553600,529300,538200,29896403,
20081020 00:00,544600,546900,523800,543800,25903313,
20081021 00:00,537800,552800,535800,536400,17188389,
20081022 00:00,530800,535500,511400,524600,25826345,
20081023 00:00,523600,531800,500000,528900,33648366,
20081024 00:00,501600,529600,496500,513800,27564460,
20081027 00:00,508500,519900,496000,496500,25134442,
20081028 00:00,509100,557200,508000,551000,38279837,
20081029 00:00,547900,567900,535500,545300,32891797,
20081030 00:00,559600,560000,538100,547900,22409724,
20081031 00:00,549600,567700,542800,558500,23666381,
20081103 00:00,567700,572000,557700,559600,17990725,
20081104 00:00,572200,572200,555700,560500,21763569,
20081105 00:00,558800,559600,540000,540500,20329001,
20081106 00:00,555800,562600,530600,534900,30328627,
20081107 00:00,538600,547000,534000,544000,18135224,
